date,cases_cumul,cases_hosp,cases_icu,deaths_cumul,cases_hcp,clusters_cumul,cases_female,cases_male,cases_gender_unknown,cases_below_1,cases_1_4,cases_under_5,cases_5_14,cases_15_24,cases_25_34,cases_35_44,cases_45_54,cases_55_64,cases_65_plus,cases_65_74,cases_75_84,cases_85_plus,cases_age_unknown,percent_comm_trns,percent_contact,percent_travel,cases_hcp_travel,cases_hcp_no_travel,cases_hcp_tbc,hosp_under_5,hosp_5_14,hosp_15_24,hosp_25_34,hosp_35_44,hosp_45_54,hosp_55_64,hosp_65_plus,hosp_65_74,hosp_75_84,hosp_85_plus,hosp_age_unknown,cases_carlow,cases_cavan,cases_clare,cases_cork,cases_donegal,cases_dublin,cases_galway,cases_kerry,cases_kildare,cases_kilkenny,cases_laois,cases_leitrim,cases_limerick,cases_longford,cases_louth,cases_mayo,cases_meath,cases_monaghan,cases_offaly,cases_roscommon,cases_sligo,cases_tipperary,cases_waterford,cases_westmeath,cases_wexford,cases_wicklow
26-Mar,1904,489,67,33,445,91,888,1010,6,4,10,14,25,136,358,353,368,271,373,NA,NA,NA,6,0.5,0.24,0.26,85,268,92,3,3,18,48,45,85,76,210,NA,NA,NA,0,<=5,11,31,184,15,1070,63,47,56,29,11,<=5,46,<=5,27,21,41,8,22,8,8,44,29,52,10,58
27-Mar,2216,564,77,43,506,103,1060,1140,16,4,11,15,29,155,408,416,432,314,441,NA,NA,NA,6,0.51,0.25,0.24,NA,NA,NA,3,3,19,52,51,98,88,249,NA,NA,NA,0,<=5,19,34,208,24,1233,68,53,61,33,14,<=5,55,10,34,26,46,11,29,10,12,53,31,67,12,65
28-Mar,2475,645,84,44,578,111,1206,1240,29,4,11,15,29,171,448,448,467,360,511,NA,NA,NA,67,0.5,0.27,0.23,NA,NA,NA,3,3,21,57,61,107,101,290,NA,NA,NA,0,<=5,24,34,217,36,1393,77,60,64,36,14,6,64,10,39,28,47,12,34,10,19,62,34,70,12,69
29-Mar,2677,703,113,64,674,118,1321,1320,36,6,11,17,30,178,477,503,504,398,563,NA,NA,NA,7,0.51,0.26,0.23,NA,NA,NA,4,3,22,61,66,116,108,321,NA,NA,NA,2,<=5,24,40,238,46,1487,86,66,66,36,15,6,67,10,44,36,54,13,34,10,19,71,33,77,15,73
30-Mar,2990,834,126,84,752,134,1494,1457,39,8,11,19,30,194,519,550,558,440,673,NA,NA,NA,7,0.6,0.21,0.19,NA,NA,NA,6,3,26,8.3,76,134,130,388,NA,NA,NA,2,<=5,36,45,255,63,1645,88,68,80,37,16,10,87,12,51,48,66,13,40,10,22,85,37,80,15,77
31-Mar,3282,932,134,91,841,160,1661,1572,49,8,11,19,30,216,564,617,608,480,739,NA,NA,NA,9,0.59,0.23,0.18,NA,NA,NA,6,4,29,77,85,152,145,432,NA,NA,NA,2,<=5,39,49,272,68,1838,91,72,90,37,16,12,94,14,52,52,74,17,46,10,25,91,38,81,16,84
01-Apr,3655,1039,148,113,948,171,1860,1752,43,8,12,20,30,235,618,685,690,537,831,NA,NA,NA,9,0.61,0.23,0.16,NA,NA,NA,6,4,32,81,94,163,160,497,NA,NA,NA,2,<=5,41,50,292,77,2077,98,79,103,47,16,12,96,16,54,55,88,17,47,13,26,94,43,86,18,105
02-Apr,4014,1118,158,131,1084,206,2080,1909,25,9,12,21,33,255,678,751,764,584,918,NA,NA,NA,10,0.62,0.23,0.15,NA,NA,NA,6,4,34,83,101,174,174,540,NA,NA,NA,2,6,67,54,304,80,2251,105,84,136,54,21,13,116,17,55,63,93,20,63,13,27,105,43,92,20,112
03-Apr,4443,1203,165,151,1163,236,2335,2072,36,11,32,43,35,270,748,808,830,647,1070,NA,NA,NA,11,0.63,0.24,0.13,NA,NA,NA,7,4,35,88,106,183,185,593,NA,NA,NA,2,12,76,54,343,81,2490,108,85,152,73,22,13,128,17,64,78,106,23,64,15,28,128,46,94,21,132
04-Apr,4916,1265,169,167,1263,260,2633,2235,48,11,13,24,36,287,820,902,907,697,1229,NA,NA,NA,14,0.65,0.23,0.12,NA,NA,NA,3,7,35,93,111,188,191,635,NA,NA,NA,2,12,115,60,362,103,2692,112,89,175,75,25,13,140,21,65,107,141,52,66,18,28,125,49,107,21,142
05-Apr,5593,1345,194,204,1388,270,2946,2594,53,12,18,30,39,347,948,1044,1048,794,1326,NA,NA,NA,17,0.67,0.22,0.11,NA,NA,NA,7,3,36,96,116,201,207,677,NA,NA,NA,2,12,123,65,421,114,3061,128,117,200,79,31,18,143,25,85,126,168,58,73,22,28,133,49,121,22,171
06-Apr,5981,1472,224,223,1568,299,3154,2757,70,12,18,30,42,364,1010,1111,1118,847,1442,NA,NA,NA,17,0.67,0.23,0.1,NA,NA,NA,7,4,37,102,127,224,230,739,NA,NA,NA,2,15,129,66,431,120,3268,134,122,233,88,34,20,160,35,96,130,183,62,77,22,28,137,52,134,24,181
07-Apr,6444,1521,230,257,1765,317,3425,2923,96,14,19,33,43,384,1103,1176,1219,922,1544,NA,NA,NA,20,0.67,0.24,0.09,NA,NA,NA,9,4,37,103,130,231,237,768,NA,NA,NA,2,16,132,68,472,125,3557,134,125,253,90,37,23,173,36,106,134,198,63,81,22,28,140,56,142,26,207
08-Apr,7071,1631,233,283,1949,333,3788,2923,72,16,20,36,45,423,1220,1304,1339,1015,1670,NA,NA,NA,19,0.66,0.25,0.09,NA,NA,NA,10,4,39,115,137,249,256,819,NA,NA,NA,2,19,151,69,503,145,3873,160,145,290,96,49,25,186,41,116,153,206,63,88,26,31,151,60,152,30,237
09-Apr,7787,1718,253,314,2141,356,4212,3489,86,18,22,40,52,473,1343,1418,1479,1138,1825,NA,NA,NA,19,0.66,0.26,0.08,NA,NA,NA,10,4,41,119,144,256,271,871,NA,NA,NA,2,22,169,85,581,167,4156,169,155,332,115,61,31,222,45,133,168,230,81,104,27,39,166,63,181,39,246
10-Apr,8496,1777,261,329,2312,383,4616,3783,97,18,27,45,56,528,1479,1558,1609,1251,1951,NA,NA,NA,19,0.67,0.26,0.07,NA,NA,NA,10,5,43,123,146,263,279,906,NA,NA,NA,2,32,210,88,648,188,4514,178,170,360,124,71,32,234,49,143,183,249,88,119,31,45,175,67,192,42,263
11-Apr,9484,1849,268,362,2489,401,5115,4225,144,19,29,48,67,598,1647,1757,1812,1411,2123,NA,NA,NA,21,0.66,0.27,0.07,NA,NA,NA,11,5,44,125,150,272,287,953,NA,NA,NA,2,38,222,98,730,225,5006,197,200,404,136,88,32,252,56,195,194,289,95,133,39,45,200,73,213,52,272
12-Apr,10385,1903,275,395,2707,408,5629,4617,139,22,34,56,81,674,1805,1927,1983,1522,2316,NA,NA,NA,21,0.66,0.27,0.07,NA,NA,NA,12,5,43,127,154,278,293,989,NA,NA,NA,2,44,245,106,780,264,5438,220,219,443,144,101,36,265,58,208,198,342,123,144,48,52,219,81,234,56,317
13-Apr,11261,1968,280,435,2872,413,6140,5021,100,25,36,61,96,737,1950,2084,2157,1637,2520,NA,NA,NA,19,0.52,0.42,0.06,NA,NA,NA,13,4,43,130,159,288,301,1028,NA,NA,NA,2,53,254,113,829,296,5850,237,226,509,164,118,40,285,69,236,216,369,147,150,50,62,237,90,258,61,342
14-Apr,12425,2026,284,480,2451,425,6778,5336,111,28,44,72,124,809,2145,2315,2395,1806,273,NA,NA,NA,20,0.51,0.43,0.06,NA,NA,NA,13,4,43,132,164,298,308,1062,NA,NA,NA,2,59,310,119,916,320,6337,260,246,567,173,133,43,307,77,350,249,405,161,163,57,66,251,101,309,71,375
15-Apr,13012,2082,294,521,2723,436,7117,5773,122,27,44,71,136,846,2231,2415,2500,1806,273,NA,NA,NA,20,0.52,0.42,0.06,NA,NA,NA,13,5,44,134,168,304,318,1094,NA,NA,NA,2,59,345,136,945,352,6567,266,254,621,179,139,46,343,79,384,259,421,166,171,61,69,270,102,318,76,384
16-Apr,13746,2168,296,566,3573,454,7568,6048,130,28,48,76,142,892,2329,2522,2659,2010,3094,NA,NA,NA,22,0.52,0.43,0.05,NA,NA,NA,13,6,47,135,177,314,330,1144,NA,NA,NA,2,69,353,151,979,369,6934,273,256,684,188,147,46,382,83,406,273,461,170,177,74,70,283,110,332,85,391
17-Apr,14602,2233,303,605,3788,472,8060,6397,145,28,50,78,154,953,2467,2659,2825,2122,3320,NA,NA,NA,24,0.63,0.32,0.05,NA,NA,NA,13,7,50,139,183,320,343,1176,NA,NA,NA,2,71,386,153,1028,376,7379,283,262,763,197,168,47,384,88,405,312,500,174,187,76,76,292,112,358,98,427
18-Apr,15185,2272,306,642,4009,478,8433,6603,149,30,54,84,161,1000,2557,2744,2943,2184,3488,NA,NA,NA,24,0.62,0.34,0.04,NA,NA,NA,13,7,50,143,188,322,349,1198,NA,NA,NA,2,78,401,160,1047,383,7666,294,268,817,206,170,49,401,91,437,332,513,187,190,91,78,300,113,369,100,444
19-Apr,15464,2323,315,719,4180,491,8595,6708,149,29,54,83,162,1009,2580,2781,2972,2207,3646,NA,NA,NA,24,0.6,0.35,0.05,NA,NA,NA,13,8,51,147,194,326,356,1226,NA,NA,NA,2,79,403,164,1053,392,7781,294,268,822,210,177,54,409,94,469,335,522,199,195,91,93,306,117,377,114,446
20-Apr,15871,2387,322,757,4393,507,8906,6909,56,28,58,86,169,1039,2635,2843,3039,2254,3782,NA,NA,NA,24,0.61,0.35,0.04,NA,NA,NA,13,8,52,150,198,330,366,1267,NA,NA,NA,3,80,430,165,1077,416,7905,309,268,851,216,185,55,415,101,489,339,539,220,198,91,97,320,119,386,137,463
21-Apr,16439,2424,331,789,4545,522,9272,7105,62,28,61,89,174,1071,2712,2929,3125,2311,4004,NA,NA,NA,24,0.52,0.44,0.04,NA,NA,NA,13,8,51,151,201,334,372,1291,NA,NA,NA,3,84,466,187,1087,431,8216,315,271,875,222,192,56,420,102,506,365,550,249,205,92,98,327,122,395,137,469
22-Apr,17420,2486,338,821,4713,548,9893,7457,70,30,62,92,177,1130,2838,3041,3280,2408,4431,NA,NA,NA,23,0.63,0.33,0.04,NA,NA,NA,14,8,53,155,210,343,379,1321,NA,NA,NA,3,86,506,206,1096,440,8729,331,271,954,227,202,62,439,102,536,391,568,318,217,111,105,343,122,409,143,506
23-Apr,17975,2536,344,859,4847,567,10261,7656,58,30,63,93,181,1161,2904,3119,3346,2462,4685,NA,NA,NA,24,0.634,0.329,0.037,NA,NA,NA,14,8,53,157,216,345,385,1028,NA,NA,NA,330,88,536,207,1103,437,9010,332,276,1003,229,204,62,441,113,590,395,578,327,222,114,104,345,129,421,151,558
24-Apr,18431,2576,349,882,5064,601,10570,7797,64,30,63,93,184,1193,2977,3181,3403,2513,4862,NA,NA,NA,25,0.63,0.33,0.04,NA,NA,NA,14,8,53,156,218,350,392,1382,NA,NA,NA,3,91,574,209,1110,446,9224,332,277,1028,230,205,64,442,124,597,435,613,350,225,116,104,346,135,437,156,568
25-Apr,19095,2625,353,897,5204,604,10963,8051,81,33,64,97,190,1236,3069,3285,3526,2566,5101,NA,NA,NA,25,0.64,0.33,0.03,NA,NA,NA,14,8,54,160,226,352,396,1412,NA,NA,NA,3,92,609,212,1125,452,9532,335,288,1127,233,205,66,457,129,627,464,626,373,228,135,114,364,137,446,162,557
26-Apr,19383,2638,358,924,5414,608,11179,8152,52,33,64,97,193,1262,3096,3319,3567,2586,5239,NA,NA,NA,24,0.63,0.34,0.03,NA,NA,NA,14,8,54,159,228,353,401,1418,NA,NA,NA,3,93,627,229,1126,453,9624,332,288,1147,233,212,67,518,135,640,466,638,385,236,141,117,370,138,448,162,558
27-Apr,19723,2669,355,924,5414,608,11379,8287,57,34,64,98,196,1295,3149,3376,3632,2620,5334,NA,NA,NA,23,0.63,0.34,0.03,NA,NA,NA,15,8,55,167,228,356,406,1432,NA,NA,NA,2,95,634,232,1136,454,9751,351,292,1162,236,216,67,532,145,652,478,661,388,264,148,116,389,137,461,162,564
28-Apr,20111,2709,360,995,5684,630,11625,8427,59,34,65,99,201,1323,3201,3438,3698,2665,5460,NA,NA,NA,26,0.64,0.33,0.03,NA,NA,NA,15,8,55,170,231,360,406,1459,NA,NA,NA,2,95,634,232,1146,456,9967,355,292,1193,242,218,68,535,146,655,483,671,393,282,150,116,415,137,474,167,589
29-Apr,20510,2768,367,1033,5840,646,11841,8605,64,35,66,101,205,1363,3271,3491,3752,2706,5596,NA,NA,NA,25,0.63,0.33,0.03,NA,NA,NA,16,8,56,173,232,368,416,1496,NA,NA,NA,3,100,644,236,1154,458,10170,355,293,1215,250,224,68,548,149,659,485,681,399,284,151,116,468,138,487,179,599
30-Apr,20742,2785,368,1050,5973,676,11979,8695,68,35,66,101,206,1383,3314,3532,3803,2736,5642,NA,NA,NA,25,0.63,0.34,0.03,NA,NA,NA,16,8,56,173,232,373,415,1509,NA,NA,NA,3,100,656,237,1156,459,10277,357,294,1226,254,230,68,564,150,667,488,687,403,293,160,118,473,138,500,183,604
01-May,21064,2825,363,1074,6068,694,12166,8841,57,38,69,107,215,1417,3373,3588,3858,2772,5711,NA,NA,NA,23,0.63,0.34,0.03,NA,NA,NA,18,11,58,174,235,381,422,1524,NA,NA,NA,2,126,673,240,1164,461,10406,365,295,1242,258,234,67,580,153,673,494,699,409,305,174,117,478,139,509,185,618
02-May,21437,2840,364,1088,6211,703,12334,9045,58,39,70,109,223,1460,3463,3667,3918,2816,5758,NA,NA,NA,23,0.63,0.34,0.03,NA,NA,NA,18,12,58,176,236,383,423,1532,NA,NA,NA,2,127,682,245,1175,465,10561,365,298,1268,259,237,70,583,213,679,501,713,423,314,174,119,479,140,540,185,622
03-May,21659,2879,369,1099,6293,706,12446,9151,62,39,72,111,230,1475,3496,3714,3956,2843,5810,NA,NA,NA,24,0.62,0.35,0.03,NA,NA,NA,18,13,59,179,240,389,424,1555,NA,NA,NA,2,127,694,249,1177,466,10670,369,301,1280,258,238,70,585,235,685,510,717,429,317,181,120,486,139,547,184,625
04-May,21908,2878,373,1128,6393,710,12562,9283,63,39,75,114,230,1495,3556,3766,3996,2866,5855,NA,NA,NA,24,0.62,0.35,0.03,NA,NA,NA,18,14,61,175,238,389,421,1560,NA,NA,NA,2,132,709,254,1192,467,10734,375,302,1289,259,240,70,591,257,693,512,722,432,339,212,121,501,139,554,184,628
05-May,22186,2891,363,1152,6498,733,12696,9428,62,40,77,117,241,1532,3618,3830,4039,2899,5885,NA,NA,NA,25,0.62,0.35,0.03,NA,NA,NA,18,15,63,175,238,392,425,1563,NA,NA,NA,2,132,710,281,1197,469,10840,380,302,1302,265,243,70,574,259,699,514,723,441,346,221,122,506,140,627,190,633
06-May,22301,2915,373,1177,6586,737,12765,9472,64,40,77,117,243,1545,3635,3851,4065,2913,5907,NA,NA,NA,25,0.61,0.36,0.03,NA,NA,NA,18,17,63,175,235,393,429,1583,NA,NA,NA,2,133,730,299,1199,469,10885,381,303,1312,265,242,66,566,260,703,518,727,443,345,228,116,512,140,633,190,636
07-May,22495,2954,381,1195,6669,746,12879,9552,64,40,77,117,245,1567,3673,3891,4087,2939,5950,1645,2116,2189,26,0.61,0.36,0.03,NA,NA,NA,18,17,63,177,236,399,437,1605,517,670,418,2,136,748,303,1205,469,10948,382,303,1317,271,247,66,570,264,715,522,754,447,349,234,116,515,143,640,194,637
08-May,22671,2986,383,1203,6771,750,12980,9627,64,40,79,119,252,1582,3707,3919,4111,2958,5997,1661,2136,2200,26,0.61,0.36,0.03,NA,NA,NA,18,17,65,179,240,404,436,1625,524,676,425,2,139,752,303,1207,469,11068,388,303,1324,277,247,66,572,264,721,522,758,447,350,235,116,517,143,641,199,643
09-May,22894,2998,383,1217,6834,755,13129,9698,67,42,79,121,258,1604,3745,3964,4148,2987,6041,1671,2147,2223,26,0.61,0.36,0.03,NA,NA,NA,18,17,65,178,239,405,436,1638,525,683,430,2,141,753,305,1232,472,11175,392,303,1331,280,248,74,582,267,730,522,760,449,351,247,123,523,143,643,202,646
10-May,23089,3031,386,1237,6906,759,13249,9776,64,42,79,121,260,1624,3777,3994,4172,3014,6101,1685,2164,2252,26,0.61,0.36,0.03,NA,NA,NA,18,17,66,179,238,408,439,1664,535,691,438,2,141,757,306,1234,474,11235,400,305,1337,284,249,74,588,269,733,537,769,454,358,297,127,524,143,643,202,649
11-May,23144,3050,389,1246,6997,766,13282,9802,60,NA,NA,122,263,1631,3792,4004,4186,3014,6107,1691,2165,2251,25,0.6,0.37,0.03,NA,NA,NA,18,17,68,181,239,407,439,1679,539,696,444,2,143,765,308,1238,472,11242,402,305,1344,291,249,75,588,270,735,538,769,458,360,298,128,524,144,645,206,647
12-May,23259,3053,387,1255,7123,766,13338,9853,68,43,82,125,266,1641,3822,4024,4203,3029,6124,1696,2175,2253,25,0.6,0.37,0.03,NA,NA,NA,18,17,68,182,240,409,442,1675,539,696,440,2,143,767,308,1249,473,11308,405,305,1348,292,249,77,591,272,734,541,770,464,362,298,128,524,144,648,208,651
13-May,23627,3062,387,1264,7427,781,13559,10019,49,43,85,128,266,1688,3936,4105,4276,3066,6138,1703,2181,2254,24,0.61,0.37,0.02,NA,NA,NA,18,17,68,184,242,409,442,1680,539,698,443,2,144,774,312,1256,473,11557,408,306,1352,293,251,77,595,273,740,542,773,467,435,299,128,516,144,652,208,652
14-May,23879,3094,389,1277,7530,784,13681,10049,49,43,85,128,267,1705,3995,4181,4316,3096,6167,1714,2188,2265,24,0.6,0.37,0.03,NA,NA,NA,18,17,68,186,247,415,449,1692,545,700,447,2,144,776,314,1346,474,11657,412,307,1357,295,251,79,596,273,741,542,776,468,455,300,129,521,144,654,211,657
15-May,23953,3117,389,1288,7566,800,13709,10195,49,43,87,130,270,1714,4105,4201,4329,3099,6171,1716,2193,2262,24,0.6,0.37,0.03,NA,NA,NA,19,17,70,187,247,420,453,1702,546,705,451,2,146,781,314,1352,475,11666,418,307,1361,298,253,79,601,277,739,547,778,480,459,301,129,523,146,655,212,656
16-May,24036,3127,391,1293,7615,805,13768,10229,39,44,88,132,270,1721,4043,4217,4339,3103,6187,1721,2196,2270,24,0.6,0.37,0.03,NA,NA,NA,19,17,70,187,247,421,457,1707,549,707,451,2,147,788,315,1361,475,11693,432,307,1367,300,253,79,602,279,740,552,780,480,459,304,129,524,147,654,212,657
17-May,24176,3143,390,1308,7661,806,13841,10296,39,44,90,134,275,1744,4066,4249,4357,3119,6208,1727,2205,2276,24,0.6,0.37,0.03,NA,NA,NA,19,17,70,188,248,422,463,1714,553,708,453,2,148,800,315,1372,477,11759,438,308,1379,302,254,80,603,279,743,556,782,485,461,307,129,525,147,656,212,659
18-May,24204,3164,393,1312,7708,810,13859,10307,38,44,91,135,277,1750,4069,4260,4361,3122,6206,1727,2201,2278,24,0.6,0.38,0.02,NA,NA,NA,19,17,70,188,247,425,470,1725,555,711,459,2,149,802,315,1376,477,11733,445,308,1379,307,254,82,610,279,745,558,787,485,468,308,129,528,148,656,217,657
19-May,24274,3183,392,1322,7747,814,13899,10337,38,44,93,137,278,1760,4083,4272,4371,3127,6222,1731,2207,2284,24,0.6,0.37,0.03,NA,NA,NA,19,17,70,189,247,428,473,1737,557,716,464,3,150,804,315,1386,479,11765,445,308,1381,307,256,82,612,280,748,560,788,488,472,310,129,529,148,658,217,657
20-May,24351,3194,393,1330,7791,823,13936,10375,40,44,93,137,281,1763,4093,4288,4380,3139,6246,1743,2215,2288,24,0.6,0.37,0.03,NA,NA,NA,19,17,70,190,247,429,474,1745,560,719,466,3,151,804,319,1398,478,11794,451,308,1383,316,256,82,615,280,751,560,790,489,473,312,129,529,148,661,217,657
21-May,24451,3211,393,1341,7813,829,13996,10418,37,44,97,141,288,1769,4112,4306,4401,3145,6265,1749,2219,2297,24,0.6,0.38,0.02,NA,NA,NA,19,17,70,191,247,429,476,1759,561,723,475,3,151,815,319,1420,478,11830,455,308,1387,319,256,82,615,280,756,564,795,489,475,314,129,528,149,661,217,659
22-May,24569,3222,394,1343,7819,844,14064,10468,37,44,101,145,291,1792,4135,4326,4415,3158,6283,1753,2224,2306,24,0.59,0.38,0.03,NA,NA,NA,19,17,71,193,248,430,478,1763,563,726,474,3,152,824,321,1428,478,11873,458,308,1392,334,256,82,616,280,756,568,797,501,478,318,129,528,151,663,217,661
23-May,24593,3225,394,1345,7842,846,14070,10484,39,45,101,146,292,1797,4138,4335,4418,3158,6284,1753,2228,2303,25,0.59,0.38,0.03,NA,NA,NA,19,17,71,193,249,430,477,1766,564,729,473,3,152,825,322,1438,478,11876,461,308,1390,334,256,82,619,281,759,568,797,501,478,319,129,528,151,663,217,661
24-May,24629,3233,395,1354,7852,846,14081,10510,38,45,102,147,294,1802,4139,4337,4428,3163,6294,1757,2230,2307,25,0.59,0.38,0.03,NA,NA,NA,19,17,71,193,249,432,478,1771,566,733,472,3,152,827,322,1440,478,11894,461,308,1395,334,257,82,622,281,759,568,797,503,479,319,129,528,151,663,217,663
25-May,24730,3251,399,1368,7891,846,14145,10548,37,45,103,148,297,1810,4162,4349,4444,3180,6315,1762,2244,2309,25,0.4,0.58,0.02,NA,NA,NA,19,17,71,196,249,433,479,1784,569,741,474,3,152,829,322,1451,478,11961,464,308,1408,336,258,82,624,281,759,568,797,503,479,319,129,528,151,664,216,663
26-May,24795,3267,404,1378,7920,850,14186,10575,34,45,105,150,304,1818,4168,4362,4454,3186,6329,1763,2251,2315,24,0.4,0.58,0.02,NA,NA,NA,19,17,71,196,251,437,481,1792,572,744,476,3,154,833,322,1458,477,11996,473,308,1414,337,258,83,626,281,759,569,793,504,478,320,129,528,151,665,216,663
27-May,24837,3270,404,1382,7943,856,14214,10589,34,45,106,151,305,1822,4176,4369,4463,3190,6337,1767,2252,2318,24,0.4,0.58,0.02,NA,NA,NA,19,17,72,197,252,439,480,1792,570,746,476,3,155,833,322,1464,477,12023,476,308,1416,337,258,83,627,280,759,569,793,504,478,320,129,528,152,667,216,663
28-May,24870,3279,408,1388,7955,861,14235,10601,34,46,107,153,307,1822,4177,4373,4471,3195,6349,1768,2257,2324,23,0.4,0.58,0.02,NA,NA,NA,19,17,72,197,255,439,480,1797,572,748,477,3,158,833,323,1472,477,12031,476,308,1416,337,258,83,628,281,763,571,795,507,478,321,129,527,152,667,216,663
29-May,24924,3283,408,1390,7963,866,14269,10601,34,46,107,153,309,1824,4185,4385,4476,3197,6362,1777,2261,2324,23,0.393,0.583,0.023,NA,NA,NA,19,17,72,198,254,440,481,1799,575,748,476,3,166,834,323,1477,477,12042,478,308,1416,338,259,83,629,283,766,571,797,509,478,333,129,529,152,668,216,663
30-May,24985,3286,408,1390,7968,866,14289,10661,35,46,108,154,310,1830,4197,4399,4488,3204,6380,1780,2263,2337,23,0.3914,0.5838,0.023,NA,NA,NA,19,17,72,198,254,442,481,1800,575,748,477,3,166,839,360,1514,477,12052,480,308,1417,338,259,83,594,283,768,571,796,509,478,333,129,530,153,669,216,663
31-May,25056,3292,408,1394,7986,867,14332,10693,31,47,109,156,318,1841,4205,4407,4502,3213,6391,1785,2262,2344,23,0.3908,0.5836,0.0229,NA,NA,NA,19,17,72,198,254,443,482,1804,577,748,479,3,166,844,368,1517,477,12090,482,308,1419,338,259,83,581,283,776,570,800,512,478,335,129,538,153,670,213,667
